                 642 0x80004026 M (0x000007a2) c.slli  a5, 8
                 645 0x80004028 M (0xfe442703) lw      a4, -28(s0)
                 646 0x8000402c M (0x00008fd9) c.or    a5, a4
                 648 0x8000402e M (0xfef42223) sw      a5, -28(s0)
                 654 0x80004032 M (0xfe442783) lw      a5, -28(s0)
                 655 0x80004036 M (0x000007c2) c.slli  a5, 16
                 658 0x80004038 M (0xfe442703) lw      a4, -28(s0)
                 659 0x8000403c M (0x00008fd9) c.or    a5, a4
                 661 0x8000403e M (0xfef42223) sw      a5, -28(s0)
                 663 0x80004042 M (0xfdc42783) lw      a5, -36(s0)
                 665 0x80004046 M (0xfef42623) sw      a5, -20(s0)
                 665 0x8000404a M (0x0000a811) c.j     pc + 20
                 669 0x8000405e M (0xfdc42703) lw      a4, -36(s0)
                 672 0x80004062 M (0xfd442783) lw      a5, -44(s0)
                 673 0x80004066 M (0x000097ba) c.add   a5, a4
                 676 0x80004068 M (0xfec42703) lw      a4, -20(s0)
                 677 0x8000406c M (0xfef760e3) bltu    a4, a5, pc - 32
                 680 0x8000404c M (0xfec42783) lw      a5, -20(s0)
                 681 0x80004050 M (0x00478713) addi    a4, a5, 4
                 683 0x80004054 M (0xfee42623) sw      a4, -20(s0)
                 685 0x80004058 M (0xfe442703) lw      a4, -28(s0)
                 687 0x8000405c M (0x0000c398) c.sw    a4, 0(a5)
                 689 0x8000405e M (0xfdc42703) lw      a4, -36(s0)
                 690 0x80004062 M (0xfd442783) lw      a5, -44(s0)
                 691 0x80004066 M (0x000097ba) c.add   a5, a4
                 694 0x80004068 M (0xfec42703) lw      a4, -20(s0)
                 695 0x8000406c M (0xfef760e3) bltu    a4, a5, pc - 32
                 705 0x8000404c M (0xfec42783) lw      a5, -20(s0)
                 706 0x80004050 M (0x00478713) addi    a4, a5, 4
                 708 0x80004054 M (0xfee42623) sw      a4, -20(s0)
                 710 0x80004058 M (0xfe442703) lw      a4, -28(s0)
                 712 0x8000405c M (0x0000c398) c.sw    a4, 0(a5)
                 714 0x8000405e M (0xfdc42703) lw      a4, -36(s0)
                 715 0x80004062 M (0xfd442783) lw      a5, -44(s0)
                 716 0x80004066 M (0x000097ba) c.add   a5, a4
                 719 0x80004068 M (0xfec42703) lw      a4, -20(s0)
                 720 0x8000406c M (0xfef760e3) bltu    a4, a5, pc - 32
                 723 0x8000404c M (0xfec42783) lw      a5, -20(s0)
                 724 0x80004050 M (0x00478713) addi    a4, a5, 4
                 726 0x80004054 M (0xfee42623) sw      a4, -20(s0)
                 728 0x80004058 M (0xfe442703) lw      a4, -28(s0)
                 730 0x8000405c M (0x0000c398) c.sw    a4, 0(a5)
                 732 0x8000405e M (0xfdc42703) lw      a4, -36(s0)
                 733 0x80004062 M (0xfd442783) lw      a5, -44(s0)
                 734 0x80004066 M (0x000097ba) c.add   a5, a4
                 737 0x80004068 M (0xfec42703) lw      a4, -20(s0)
                 738 0x8000406c M (0xfef760e3) bltu    a4, a5, pc - 32
                 741 0x8000404c M (0xfec42783) lw      a5, -20(s0)
                 742 0x80004050 M (0x00478713) addi    a4, a5, 4
                 744 0x80004054 M (0xfee42623) sw      a4, -20(s0)
                 746 0x80004058 M (0xfe442703) lw      a4, -28(s0)
                 748 0x8000405c M (0x0000c398) c.sw    a4, 0(a5)
                 750 0x8000405e M (0xfdc42703) lw      a4, -36(s0)
                 751 0x80004062 M (0xfd442783) lw      a5, -44(s0)
                 752 0x80004066 M (0x000097ba) c.add   a5, a4
